S1,S2,S3,S4,S5,S6,S7,S8,OBSTACLE,ACTION
5.03,12.56,7.23,50,50,50,50,50,9,2
5.03,12.56,5.54,50,50,50,50,50,9,2
5.11,12.56,5.53,50,50,50,50,50,9,2
5.05,12.53,7.26,50,50,50,50,50,9,2
5.18,12.48,8.29,50,50,50,50,50,9,2
5.72,12.51,8.31,50,50,50,50,50,9,2
50,50,7.21,8.52,5.29,50,50,50,10,1
50,50,7.1,8.55,5.34,50,50,50,10,1
50,50,7.21,8.56,5.27,50,50,50,10,1
50,50,7.28,8.55,5.37,50,50,50,10,1
50,50,7.16,8.61,5.34,50,50,50,10,1
50,50,7.55,8.65,5.34,50,50,50,10,1
50,50,7.64,8.68,5.37,50,50,50,10,1
50,50,7.31,8.52,5.34,50,50,50,10,1
50,50,7.24,8.63,5.31,50,50,50,10,1
50,50,7.19,8.6,5.22,50,50,50,10,1
50,50,7.38,8.55,5.29,50,50,50,10,1
6.42,50,50,50,50,50,5.27,8.29,11,2
6.28,50,50,50,50,50,4.99,8.18,11,2
6.42,50,50,50,50,50,5.17,8.22,11,2
6.5,50,50,50,50,50,5.1,8.26,11,2
6.62,50,50,50,50,50,5.1,8.26,11,2
6.45,50,50,50,50,50,5.16,8.22,11,2
6.35,50,50,50,50,50,5.17,8.27,11,2
6.31,50,50,50,50,50,5.15,8.22,11,2
6.4,50,50,50,50,50,4.89,8.22,11,2
6.35,50,50,50,50,50,4.8,8.19,11,2
6.68,50,50,50,50,50,5.01,8.2,11,2
50,8.32,50,50,50,50,50,50,13,1
50,8.58,50,50,50,50,50,50,13,1
50,8.79,50,50,50,50,50,50,13,1
50,9.17,50,50,50,50,50,50,13,1
50,8.34,50,50,50,50,50,50,13,1
50,9.15,50,50,50,50,50,50,13,2
50,8.8,50,50,50,50,50,50,13,2
50,8.88,50,50,50,50,50,50,13,2
50,8.86,50,50,50,50,50,50,13,2
50,8.94,50,50,50,50,50,50,13,2
50,8.68,50,50,50,50,50,50,13,2
50,50,50,8.87,50,50,50,50,14,2
50,50,50,8.8,50,50,50,50,14,2
50,50,50,8.72,50,50,50,50,14,2
50,50,50,9.01,50,50,50,50,14,2
50,50,50,8.68,50,50,50,50,14,2
50,50,50,8.39,50,50,50,50,14,2
50,50,50,8.89,50,50,50,50,14,2
50,50,50,8.84,50,50,50,50,14,2
50,50,50,8.82,50,50,50,50,14,2
50,50,50,8.99,50,50,50,50,14,2
50,50,50,8.75,50,50,50,50,14,2
50,50,50,50,50,50,50,8.34,15,1
50,50,50,50,50,50,50,8.43,15,1
50,50,50,50,50,50,50,8.41,15,1
50,50,50,50,50,50,50,8.39,15,1
50,50,50,50,50,50,50,8.34,15,1
50,50,50,50,50,50,50,8.27,15,1
50,50,50,50,50,50,50,8.31,15,1
50,50,50,50,50,50,50,8.38,15,1
50,50,50,50,50,50,50,8.36,15,1
50,50,50,50,50,50,50,8.38,15,1
50,50,50,50,50,50,50,8.41,15,1
50,50,50,50,50,50,50,8.34,15,1
50,9.63,7.21,50,50,50,50,50,17.1,1
50,9.34,6.86,50,50,50,50,50,17.1,1
50,9.92,7.5,50,50,50,50,50,17.1,1
50,8.89,7.53,50,50,50,50,50,17.1,1
50,9.63,7.04,50,50,50,50,50,17.1,1
50,50,7.84,50,50,50,50,50,17.2,1
50,50,7.76,50,50,50,50,50,17.2,1
50,50,7.83,50,50,50,50,50,17.2,1
50,50,7.91,50,50,50,50,50,17.2,1
50,50,8.26,50,50,50,50,50,17.2,1
50,5.88,6.57,50,50,50,50,50,17.3,1
50,6.24,6.71,50,50,50,50,50,17.3,1
50,6.35,6.66,50,50,50,50,50,17.3,1
50,6.23,6.66,50,50,50,50,50,17.3,1
50,5.88,6.62,50,50,50,50,50,17.3,1
50,50,12.08,12.51,50,50,50,50,18.1,1
50,50,12.1,12.49,50,50,50,50,18.1,1
50,50,12.07,12.5,50,50,50,50,18.1,1
50,50,12.08,12.5,50,50,50,50,18.1,1
50,50,12.01,12.48,50,50,50,50,18.1,1
50,11.93,5.34,50,50,50,50,50,18.2,1
